category,mean_recent_61d,median_recent_61d,sum_recent_61d,mean_forecast_rows,median_forecast_rows,sum_forecast_rows,mean_ratio_forecast_to_recent
Coffee,143.7172131147541,129.5,175335.0,163.95849569754867,148.44234224822458,600088.0942530282,1.14084104571825
Tea,44.838524590163935,39.0,54703.0,51.05890147603178,45.08453842635589,186875.57940227631,1.1387284024780866
Bakery,35.20245901639344,31.0,42947.0,40.000313755681475,36.775261311330354,146401.1483457942,1.1362931702314807
Savory Bakery,28.209016393442624,25.0,34415.0,31.843622006902528,29.200626278785816,116547.65654526325,1.1288455280668628
Chocolate & Milk,20.626229508196722,18.0,25164.0,23.307340404908025,21.315789839266884,85304.86588196337,1.129985506834676
Juice & Smoothie,12.401639344262295,10.5,15130.0,13.99366971913075,12.405571901380025,51216.831172018545,1.1283725748406819
Merchandise,7.340983606557377,6.0,8956.0,8.136565779725231,7.505582662950465,29779.830753794347,1.1083754188549333
